Seeded RNG: 2514336011
Running IMIS. InitSamples: 50000000, StepSamples: 100000, FinalResamples 100000, MaxIter 3000
Step Var(w_i)  MargLik    Unique Max(w_i)     ESS     Time
 416  2696.58    30.25 60067.27     0.00 33956.37    53.00
 417  2670.16    30.25 60156.78     0.00 34329.69    60.00
 418  2657.02    30.25 60206.12     0.00 34537.02    53.00
 419  2647.09    30.25 60246.51     0.00 34704.28    54.00
 420  2732.95    30.26 60254.59     0.00 33650.95    52.00
 421  2659.46    30.26 60341.91     0.00 34618.06    53.00
 422  2637.13    30.26 60407.47     0.00 34948.99    54.00
 423  2636.02    30.26 60455.65     0.00 35001.65    54.00
 424  2616.60    30.26 60517.55     0.00 35299.49    51.00
 425  2608.70    30.26 60556.42     0.00 35444.70    53.00
 426  2594.95    30.26 60611.33     0.00 35670.91    54.00
 427  2592.92    30.27 60657.64     0.00 35737.38    57.00
 428  2612.81    30.27 60705.92     0.00 35503.77    55.00
 429  2585.95    30.27 60751.39     0.00 35911.05    53.00
 430  2585.69    30.27 60802.80     0.00 35953.22    58.00
 431  2571.99    30.27 60873.61     0.00 36183.55    57.00
 432  2554.94    30.27 60934.61     0.00 36464.12    55.00
 433  2606.67    30.27 60957.49     0.00 35779.05    53.00
 434  2604.44    30.28 60957.11     0.00 35848.10    55.00
 435  2547.42    30.28 61085.62     0.00 36689.44    53.00
 436  2537.80    30.28 61118.82     0.00 36867.81    55.00
 437  2539.79    30.28 61143.84     0.00 36878.35    59.00
 438  2541.27    30.28 61171.67     0.00 36896.10    54.00
 439  2522.96    30.28 61236.10     0.00 37203.37    56.00
 440  2509.14    30.28 61309.82     0.00 37448.14    56.00
 441  2496.69    30.28 61389.09     0.00 37674.88    54.00
 442  2500.76    30.28 61428.78     0.00 37653.48    55.00
 443  2488.24    30.28 61463.49     0.00 37883.10    53.00
 444  2480.79    30.28 61525.27     0.00 38037.06    56.00
 445  2490.76    30.28 61569.70     0.00 37924.96    56.00
 446  2503.38    30.28 61592.75     0.00 37773.87    55.00
 447  2516.10    30.29 61655.44     0.00 37622.64    57.00
